Gamma,Average L2,Accuracy
0.05,5.03598,0.125
0.045,4.971943,0.2625
0.04,4.7739477,0.225
0.035,4.7794085,0.3875
0.03,4.2317266,0.3875
0.025,3.934218,0.4875
0.02,3.5720584,0.5125
0.015,3.2336526,0.65
0.01,2.673148,0.8125
0.005,1.8488251,0.8625
0.0,0.0,0.8625
