Epsilon,w/o DimShield (Acc.),w DimShield (Acc.),w/o DimShield (Loss.),w DimShield (Loss.)
0.000,0.8625,0.7625,0.6530,1.1199
0.005,0.7875,0.7000,0.9936,1.3276
0.010,0.6125,0.6125,1.4184,1.5814
0.015,0.4625,0.5625,1.9266,1.8756
0.020,0.3750,0.5125,2.4977,2.1882
0.025,0.2000,0.4750,3.0958,2.5163
0.030,0.1500,0.3875,3.6851,2.8378
0.035,0.0750,0.3000,4.2925,3.2190
0.040,0.0375,0.2750,4.9409,3.6105
0.045,0.0250,0.1875,5.6025,4.0109
0.050,0.0000,0.1500,6.1695,4.3550
