Gamma,w/o DimShield (Acc.),w DimShield (Acc.),w/o DimShield (Loss.),w DimShield (Loss.)
0.0,0.8625,0.7750,0.6530,1.0908
0.005,0.8625,0.7375,0.6850,1.1552
0.01,0.8125,0.6750,0.9921,1.3543
0.015,0.6500,0.6375,1.1786,1.3502
0.02,0.5125,0.5750,1.3922,1.4659
0.025,0.4875,0.6125,1.3086,1.3724
0.03,0.3875,0.6125,1.5494,1.4608
0.035,0.3875,0.5875,1.9530,1.5746
0.04,0.2250,0.5875,2.0071,1.5791
0.045,0.2625,0.5250,2.1039,1.7478
0.05,0.1250,0.5625,2.2774,1.7319
