Epsilon,Average L2,Accuracy
0.02,1.1004449,0.10716667
0.018,0.99074966,0.11841667
0.016,0.8810521,0.1345
0.014,0.7712119,0.15958333
0.012,0.66138214,0.1925
0.01,0.5513741,0.24108334
0.008,0.44138956,0.31183332
0.006,0.33117703,0.40266666
0.004,0.22100562,0.52575
0.002,0.11051009,0.68775
0.0,0.0,0.84625
