Epsilon,Average L2,Accuracy
0.01,0.5340123,0.08341666
0.009,0.48043254,0.12616667
0.008,0.4274916,0.17716667
0.007,0.3755013,0.25
0.006,0.32463685,0.32766667
0.005,0.27607334,0.41675
0.004,0.22100118,0.49083334
0.003,0.16576307,0.57925
0.002,0.11050824,0.67258334
0.001,0.055254098,0.76925
0.0,0.0,0.84625
