Epsilon,Average L2,Accuracy
0.1,0.6366074,0.0
0.09,0.6366074,0.0
0.08,0.6366074,0.0
0.07,0.6366074,0.0
0.06,0.6366074,0.0
0.05,0.6366074,0.0
0.04,0.6365472,0.0
0.03,0.6359396,0.0
0.02,0.6285262,0.001
0.01,0.5340066,0.08375
0.0,0.0,0.84625
