eps,raw_acc,denoised_acc
0.2,0.23250000178813934,0.8705000281333923
0.19,0.23899999260902405,0.8709999918937683
0.18,0.24449999630451202,0.878000020980835
0.17,0.25600001215934753,0.8759999871253967
0.16,0.265500009059906,0.887499988079071
0.15,0.27900001406669617,0.8849999904632568
0.14,0.2874999940395355,0.8895000219345093
0.13,0.3095000088214874,0.9045000076293945
0.12,0.32850000262260437,0.8995000123977661
0.11,0.35850000381469727,0.8924999833106995
0.1,0.4104999899864197,0.9070000052452087
0.09,0.4819999933242798,0.9164999723434448
0.08,0.5674999952316284,0.9154999852180481
0.07,0.6644999980926514,0.9235000014305115
0.06,0.7450000047683716,0.9244999885559082
0.05,0.8270000219345093,0.9204999804496765
0.04,0.8805000185966492,0.9279999732971191
0.03,0.9200000166893005,0.9265000224113464
0.02,0.9505000114440918,0.9300000071525574
0.01,0.9674999713897705,0.9369999766349792
