num_files,eps_values,raw_acc,denoised_acc
1,0.20,0.23250000178813934,0.8694999814033508
2,0.20;0.19,0.2357500046491623,0.8784999847412109
3,0.20;0.19;0.18,0.23866666853427887,0.8845000267028809
4,0.20;0.19;0.18;0.17,0.24300000071525574,0.8801249861717224
5,0.20;0.19;0.18;0.17;0.16,0.2475000023841858,0.8934999704360962
6,0.20;0.19;0.18;0.17;0.16;0.15,0.2527500092983246,0.8933333158493042
7,0.20;0.19;0.18;0.17;0.16;0.15;0.14,0.25771427154541016,0.8927857279777527
8,0.20;0.19;0.18;0.17;0.16;0.15;0.14;0.13,0.2641875147819519,0.8974375128746033
9,0.20;0.19;0.18;0.17;0.16;0.15;0.14;0.13;0.12,0.27133333683013916,0.8887222409248352
10,0.20;0.19;0.18;0.17;0.16;0.15;0.14;0.13;0.12;0.11,0.28005000948905945,0.8970500230789185
11,0.20;0.19;0.18;0.17;0.16;0.15;0.14;0.13;0.12;0.11;0.10,0.2919090986251831,0.8985000252723694
12,0.20;0.19;0.18;0.17;0.16;0.15;0.14;0.13;0.12;0.11;0.10;0.09,0.30774998664855957,0.9001250267028809
13,0.20;0.19;0.18;0.17;0.16;0.15;0.14;0.13;0.12;0.11;0.10;0.09;0.08,0.32773077487945557,0.901192307472229
14,0.20;0.19;0.18;0.17;0.16;0.15;0.14;0.13;0.12;0.11;0.10;0.09;0.08;0.07,0.35178571939468384,0.90753573179245
15,0.20;0.19;0.18;0.17;0.16;0.15;0.14;0.13;0.12;0.11;0.10;0.09;0.08;0.07;0.06,0.3779999911785126,0.9097333550453186
16,0.20;0.19;0.18;0.17;0.16;0.15;0.14;0.13;0.12;0.11;0.10;0.09;0.08;0.07;0.06;0.05,0.406062513589859,0.9060624837875366
17,0.20;0.19;0.18;0.17;0.16;0.15;0.14;0.13;0.12;0.11;0.10;0.09;0.08;0.07;0.06;0.05;0.04,0.4339706003665924,0.9072058796882629
18,0.20;0.19;0.18;0.17;0.16;0.15;0.14;0.13;0.12;0.11;0.10;0.09;0.08;0.07;0.06;0.05;0.04;0.03,0.46097221970558167,0.9131388664245605
19,0.20;0.19;0.18;0.17;0.16;0.15;0.14;0.13;0.12;0.11;0.10;0.09;0.08;0.07;0.06;0.05;0.04;0.03;0.02,0.48673683404922485,0.9093157649040222
20,0.20;0.19;0.18;0.17;0.16;0.15;0.14;0.13;0.12;0.11;0.10;0.09;0.08;0.07;0.06;0.05;0.04;0.03;0.02;0.01,0.5107750296592712,0.9169250130653381
