Gamma,Average L2,Accuracy
0.022,3.6620245,0.1340000033378601
0.02,3.6076617,0.17000000178813934
0.018,3.5047088,0.2150000035762787
0.016,3.4336407,0.25200000405311584
0.014,3.3057923,0.3019999861717224
0.01,2.9711106,0.44699999690055847
0.005,2.1765912,0.6679999828338623
0.001,0.8574461,0.8159999847412109
