eps,raw_acc,denoised_acc
0.06,0.0,0.125
0.05,0.0625,0.1875
0.04,0.0625,0.1875
0.03,0.125,0.1875
0.02,0.3125,0.1875
0.01,0.4375,0.1875
0.009,0.5625,0.125
0.008,0.5625,0.1875
0.007,0.5625,0.1875
0.006,0.5625,0.1875
0.005,0.5625,0.1875
0.004,0.5625,0.1875
0.003,0.5625,0.1875
0.002,0.5625,0.1875
