Epsilon,Average L2,Accuracy
0.05,3.1997416,0.0
0.045,2.8797832,0.025
0.04,2.5598257,0.0375
0.035,2.2398577,0.075
0.03,1.9198822,0.15
0.025,1.599922,0.2
0.02,1.2799346,0.375
0.015,0.95995504,0.4625
0.01,0.6399663,0.6125
0.005,0.31998393,0.7875
0.0,0.0,0.8625
