Gamma,w/o DimShield (Acc.),w DimShield (Acc.),w/o DimShield (Loss.),w DimShield (Loss.)
0.001,0.8160,0.6010,0.5772,1.5610
0.005,0.6680,0.5560,0.8847,1.7813
0.01,0.4470,0.5090,1.3451,1.9916
0.014,0.3020,0.5130,1.6053,2.0555
0.016,0.2520,0.5040,1.7065,2.1116
0.018,0.2150,0.4840,1.7720,2.1505
0.02,0.1700,0.4970,1.8753,2.1389
0.022,0.1340,0.4910,1.8655,2.0963
