Epsilon,Noise,Accuracy,Accuracy after reconstruction
0.0001,0.00204868,0.9,82.25
0.0002,0.004093371,0.66583335,79.53
0.0003,0.006134056,0.50916666,75.83
0.0004,0.008170708,0.435,70
0.0005,0.010203161,0.3375,62.33
0.0006,0.012231495,0.23833333,57.08
0.0007,0.014255619,0.16166666,53.17
0.0008,0.016275281,0.13,51.25
0.0009,0.018290395,0.123333335,50.67
0.001,0.02030113,0.12833333,50
0.0011,0.02230737,0.1325,49.83
0.0012,0.024309158,0.13666667,49.33
