Epsilon,Average L2,Accuracy
0.1,1.8050292,0.0076
0.09,1.640607,0.0163
0.08,1.4770355,0.0546
0.07,1.3188474,0.156
0.06,1.164013,0.3603
0.05,0.9945775,0.6386
0.04,0.7997989,0.8218
0.03,0.6094125,0.9007
0.02,0.40281644,0.9471
0.01,0.19770767,0.9713
