Epsilon,Average L2,Accuracy
0.2,3.5451715,0.0053
0.19,3.3712032,0.0051
0.18,3.1986592,0.0052
0.17,3.0243118,0.0053
0.16,2.8504815,0.0054
0.15,2.6762416,0.0063
0.14,2.5019135,0.0071
0.13,2.3276925,0.0076
0.12,2.1543562,0.0084
0.11,1.9815395,0.0106
0.1,1.8099031,0.0136
0.09,1.6450539,0.0235
0.08,1.4801705,0.0648
0.07,1.3203313,0.1642
0.06,1.1645927,0.3637
0.05,0.99401057,0.6395
0.04,0.7987409,0.8222
0.03,0.60831964,0.9004
0.02,0.40187672,0.947
0.01,0.19749585,0.9713
