Epsilon,Average L2,Accuracy
0.1,6.3977776,0.025
0.095,6.078258,0.025
0.09,5.758653,0.025
0.085,5.438963,0.025
0.08,5.1191955,0.025
0.075,4.799363,0.025
0.07,4.47948,0.0375
0.065,4.159564,0.0375
0.06,3.8396258,0.05
0.055,3.5196755,0.075
0.05,3.1997228,0.0875
0.045,2.8797646,0.125
0.04,2.5598009,0.15
0.035,2.239835,0.225
0.03,1.9198637,0.2875
0.025,1.59989,0.375
0.02,1.2799146,0.4875
0.015,0.9599374,0.525
0.01,0.63995874,0.6625
0.005,0.31997985,0.8
-0.0,0.0,0.8625
